Date,Open,High,Low,Close,Adj Close,Volume
2015-11-02,120.800003,121.360001,119.610001,121.180000,114.450897,32203300
2015-11-03,120.790001,123.489998,120.699997,122.570000,115.763702,45519000
2015-11-04,123.129997,123.820000,121.620003,122.000000,115.225357,44886100
2015-11-05,121.849998,122.690002,120.180000,120.919998,114.694176,39552700
2015-11-06,121.110001,121.809998,120.620003,121.059998,114.826981,33042300
2015-11-09,120.959999,121.809998,120.050003,120.570000,114.362213,33871400
2015-11-10,116.900002,118.070000,116.059998,116.769997,110.757858,59127900
2015-11-11,116.370003,117.419998,115.209999,116.110001,110.131828,45218000
2015-11-12,116.260002,116.820000,115.650002,115.720001,109.761932,32525600
2015-11-13,115.199997,115.570000,112.269997,112.339996,106.555931,45812400
2015-11-16,111.379997,114.239998,111.000000,114.180000,108.301201,38106700
2015-11-17,114.919998,115.050003,113.320000,113.690002,107.836441,27616900
2015-11-18,115.760002,117.489998,115.500000,117.290001,111.251076,46674700
2015-11-19,117.639999,119.750000,116.760002,118.779999,112.664360,43295800
2015-11-20,119.199997,119.919998,118.849998,119.300003,113.157593,34287100
2015-11-23,119.269997,119.730003,117.339996,117.750000,111.687393,32482500
2015-11-24,117.330002,119.349998,117.120003,118.879997,112.759216,42803200
2015-11-25,119.209999,119.230003,117.919998,118.029999,111.952995,21388300
2015-11-27,118.290001,118.410004,117.599998,117.809998,111.744308,13046400
2015-11-30,117.989998,119.410004,117.750000,118.300003,112.209084,39180300
2015-12-01,118.750000,118.809998,116.860001,117.339996,111.298500,34852400
2015-12-02,117.339996,118.110001,116.080002,116.279999,110.293083,33386600
2015-12-03,116.550003,116.790001,114.220001,115.199997,109.268692,41569500
2015-12-04,115.290001,119.250000,115.110001,119.029999,112.901489,57777000
2015-12-07,118.980003,119.860001,117.809998,118.279999,112.190102,32084200
2015-12-08,117.519997,118.599998,116.860001,118.230003,112.142685,34309500
2015-12-09,117.639999,117.690002,115.080002,115.620003,109.667061,46361400
2015-12-10,116.040001,116.940002,115.510002,116.169998,110.188744,29104200
2015-12-11,115.190002,115.389999,112.849998,113.180000,107.352707,46886200
2015-12-14,112.180000,112.680000,109.790001,112.480003,106.688728,64318700
2015-12-15,111.940002,112.800003,110.349998,110.489998,104.801193,53323100
2015-12-16,111.070000,111.989998,108.800003,111.339996,105.607422,56238500
2015-12-17,112.019997,112.250000,108.980003,108.980003,103.368935,44772800
2015-12-18,108.910004,109.519997,105.809998,106.029999,100.570824,96453300
2015-12-21,107.279999,107.370003,105.570000,107.330002,101.803886,47590600
2015-12-22,107.400002,107.720001,106.449997,107.230003,101.709038,32789400
2015-12-23,107.269997,108.849998,107.199997,108.610001,103.018005,32657400
